ISBN,Book-Title,Book-Author,Year-Of-Publication
1856979377,"""Flying and Floating (Science Facts and Experiments)""","""David Glover""","""1993"""
1890208558,"""The Merry Devils""","""Edward Marston""","""2001"""
0394513126,"""Extinction: The Causes and Consequences of the Disappearance of Species""","""Paul R. Ehrlich""","""1981"""
0307100723,"""The Ernie &amp"," Bert Book (Golden Super Shape Book)""","""Norman Stiles"""
0880015519,"""Daughters of Captain Cook""","""Linda Spalding""","""1997"""
0373484267,"""Morgan'S Mercenaries: Heart Of Stone""","""Lindsay Mckenna""","""2001"""
0895778718,"""New Fix-It-Yourself Manual""","""Reader's Digest""","""1996"""
0060959622,"""You Just Don't Understand: Women and Men in Conversation""","""Deborah Tannen""","""2001"""
0141309733,"""When No One Was Looking""","""Rosemary Wells""","""2000"""
0898868548,"""Don't Get Sick: The Hidden Dangers of Camping and Hiking""","""Buck Tilton""","""2002"""
002542730x,"""Politically Correct Bedtime Stories: Modern Tales for Our Life and Times""","""James Finn Garner""","""1994"""
0312874251,"""Executive Privilege""","""Jay Brandon""","""2001"""
0571069770,"""Murder in the Cathedral""","""T. S. Eliot""","""1938"""
1852833920,"""Quantum Leap: Beginnings""","""Ashley McConnell""","""1994"""
B0000C2W5U,"""Femme Fatale: Famous Beauties Then and Now""","""Serge Normant""","""2001"""
0684835789,"""The Moral Compass: Stories for a Life's Journey""","""William J. Bennett""","""1996"""
3499231743,"""Die Spur im Meer.""","""Willy Josefsson""","""2002"""
1569314195,"""Pokemon Tales : Where's Clefairy's Voice? (Pokemon Tales)""","""Junko Wada""","""1999"""
0671617664,"""Time's Arrows : Scientific Attitudes Toward Time""","""Richard Morris""","""1986"""
014014921X,"""Titmuss Regained""","""John Mortimer""","""1998"""
1853262757,"""Mr Sponge's Sporting Tour""","""R. S. Surtees""","""1999"""
1589801288,"""Fisherman's Tackle Box Bible""","""Frank Davis""","""2003"""
0393046257,"""Degrees of Love""","""Rachel Basch""","""1998"""
0816136610,"""Story Bible""","""Pearl S. Buck""","""1984"""
0595239161,"""Wildflower""","""Carl Rafala""","""2002"""
0785266968,"""The Dead Detective : A Sam and Vera Sloan Mystery (Sam and Vera Sloan Mystery)""","""Robert L. Wise""","""2002"""
0812551060,"""The Sable Doughboys""","""Tom Willard""","""1998"""
2020550776,"""Le CimetiÃ?Â¨re des bateaux sans nom""","""Arturo PÃ?Â©rez-Reverte""","""2002"""
0440219353,"""Land of Dreams (Ellis Island)""","""Lowery Joan Nixon""","""1995"""
0896080439,"""Creative Difference: Profiles of Hollywood Dissidents""","""Barbara Zheutlin""","""1978"""
0933121245,"""Book of African Names""","""Osuntoki""","""1990"""
0812017706,"""Japanese for the Business Traveler (Barron's Business Travelers)""","""Nobuo Akiyama""","""1994"""
0393962903,"""The Norton Anthology of English Literature (Norton Anthology of English Literature (Paperback))""","""M. H. Abrams""","""1993"""
0140038620,"""Home to the Wilderness: A Personal Journey""","""S. Carrighar""","""1974"""
0151302014,"""Famous for Fifteen Minutes: My Years With Andy Warhol""","""Isabelle Dufresne""","""1988"""
1566195500,"""White Fang ",": And Call of the wild""","""Jack London"""
0425044734,"""Funeral in Berlin""","""Len Deighton""","""1980"""
0671830570,"""CERTAIN SLANT LGHT""","""Margaret Bonanno""","""1980"""
0312026455,"""Stilled life""","""Mikel Dunham""","""1989"""
0974766100,"""Hand of Wisdom""","""Mona Dietrich""","""2004"""
0380002221,"""Jane""","""Dee Wells""","""1978"""
1572971533,"""For the Love of Cheese""","""The Editors of Might Magazine""","""1996"""
0425175235,"""Mind over Back Pain: A Radically New Approach to the Diagnosis and Treatment of Back Pain""","""John E. Sarno""","""1999"""
0843927801,"""Eden's Promise""","""Cassie Edwards""","""1989"""
0156118610,"""Best Of Bad Hemingway: Vol 1: choice entries from the harry's bar &amp"," american grill imitation hemingway competition""","""Ernest Hemingway"""
187009879X,"""The Organic Baby Book: How to Plan and Raise a Healthy Child""","""Tanyia Maxted-Frost""","""1999"""
2266092014,"""Pharricide""","""Vincent de Swarte""","""1999"""
0486251853,"""Hugger-Mugger in the Louvre: A Homer Evans Murder Mystery (Dover Mystery Classics Series)""","""Elliot Paul""","""1986"""
1888952288,"""Who's on First: A Blackford Oakes Mystery (Blackford Oakes Novel)""","""William F. Buckley""","""1997"""
2253001414,"""L'Aiguille creuse""","""Maurice Leblanc""","""1973"""
0671751557,"""The Causes of the Civil War : Revised Edition""","""Kenneth Milton Stampp""","""1992"""
0674990633,"""Hesiod: The Homeric Hymns and Homerica (Loeb Classical Library #57)""","""Hesiod""","""1936"""
0440440629,"""Iggie's House""","""JUDY BLUME""","""1975"""
0312307721,"""Shakedown Beach : A Mystery""","""Eric Dezenhall""","""2004"""
0822514621,"""Morning Glories (Nature Science Books)""","""Sylvia A. Johnson""","""1985"""
0671661582,"""MONEY DYNAMICS FOR THE 1990'S""","""Venita Vancaspel""","""1988"""
0002005050,"""The Romantic""","""Barbara Gowdy""","""2003"""
0380715686,"""Some Days You Get the Bear""","""Lawrence Block""","""1994"""
1575664089,"""The Cincinnati Red Stalkings""","""Troy Soos""","""1999"""
0060957328,"""American Pie : Slices of Life (and Pie) from America's Back Roads""","""Pascale Le Draoulec""","""2003"""
0060933267,"""The Ethics of Star Trek""","""Judith Barad""","""2001"""
0880014563,"""Bells in Winter""","""Czeslaw Milosz""","""1996"""
0316148962,"""Sneakers Meet Your Feet (How the World Works)""","""Vicki Cobb""","""1985"""
0600559211,"""Golden Treasury of Songs and Lyrics""","""Francis Palgrave""","""0"""
0312181094,"""A Heart Turned East: Among the Muslims of Europe and America""","""Adam Lebor""","""1998"""
0439188741,"""The Custodian from the Black Lagoon (Black Lagoon)""","""Mike Thaler""","""2001"""
0373245793,"""The Marrying MacAllister : The Baby Bet:  MacAllisters Gifts (Special Edition)""","""Joan Elliot Pickart""","""2003"""
1568304161,"""Photoshop Magic: Expert Edition""","""Brendon Perkins""","""1997"""
0590509594,"""Bull Catcher""","""Alden R. Carter""","""2000"""
0152339000,"""Hey-How for Halloween!""","""Lee Bennett Hopkins""","""1974"""
0843951877,"""The Cowboy Who Came Calling""","""Linda Broday""","""2003"""
3426624583,"""Echo vergangener Tage. Sonderausgabe.""","""Maeve Binchy""","""2002"""
0345251377,"""The Star trek concordance""","""Bjo Trimble""","""1976"""
0395893631,"""The Long-Winded Lady: Notes from the New Yorker""","""Maeve Brennan""","""1998"""
8420698105,"""Demonios""","""Fedor M. Dostoyevski""","""1998"""
0671882988,"""ROSEBUD : ROSEBUD""","""Faye Adams""","""1994"""
0312078080,"""Inhumane Society: The American Way of Exploiting Animals""","""Michael Fox""","""1992"""
340414466X,"""Der Sintfluter.""","""James Douglas""","""2001"""
0312966628,"""Legend (Legend)""","""Laura Baker""","""1998"""
0684857952,"""Sunday You Learn How to Box : A Novel""","""Bil Wright""","""2000"""
0802860613,"""Lilith""","""George MacDonald""","""1981"""
0449208508,"""Vida""","""Narge Piecy""","""1985"""
0688061443,"""Police Confidential""","""Danny Quatrochi""","""1986"""
0590417088,"""The Secret of Nimh""","""Robert C. O'Brien""","""1995"""
0345388267,"""Power Play""","""Anne McCaffrey""","""1995"""
0441006639,"""The Book of Merlyn""","""T. H. White""","""1999"""
0440472415,"""Ramona and Her Father (Ramona Quimby (Paperback))""","""Beverly Cleary""","""1979"""
0375503773,"""A Song I Knew by Heart : A Novel""","""BRET LOTT""","""2004"""
0425042235,"""The Mountain King""","""George Ernsberger""","""1979"""
0525152946,"""The Marmalade Man""","""Charlotte Vale Allen""","""1981"""
0871401215,"""Xaipe""","""Edward Estlin Cummings""","""1979"""
042516263X,"""Alaskan Gold""","""Robert Reese""","""1998"""
3453092872,"""Der LÃ?Â¼gner.""","""Stephen Fry""","""1996"""
2070388174,"""L'annÃ?Â©e des cinq saisons""","""Avraham B Yehoshua""","""1993"""
1561706388,"""Whose Face Is in the Mirror?: The Story of One Woman's Journey from the Nightmare of Domestic Abuse to True Healing""","""Dianne Schwartz""","""2000"""
0132022192,"""Destination Freedom a Time Travel Adventure Stage I Departure Instruction""","""Douglas Mahr""","""1988"""
0448102137,"""Goldilocks and the Three Bears""","""Jane Dyer""","""1984"""
1861590466,"""The Emerald Underground""","""Michael Collins""","""1998"""
0440503531,"""The Ultimate Dracula: New Stories by Some of the World's Leading Authors""","""Byron Preiss""","""1991"""
0708961274,"""Mouth of Truth (Linford Romance)""","""Isobel Chace""","""1985"""
0152164928,"""Troy""","""Adele Geras""","""2001"""
038055657X,"""High Crimes and Misdemeanors""","""Joanne Greenberg""","""1981"""
0761506411,"""Writers.Net: Every Writer's Essential Guide to Online Resources and Opportunities""","""Gary Gach""","""1997"""
0671705261,"""ZOMBIES GENE POOL""","""Sharyn Mccrumb""","""1992"""
0060167688,"""After All These Years""","""Susan Isaacs""","""1993"""
014017799X,"""Meditations for Cats Who Do Too Much""","""Michael Cader""","""1993"""
0553050788,"""Frontier""","""Louis L'Amour""","""1984"""
0373226209,"""The Lawman Who Loved Her (Harlequin Intrigue 620)""","""Mallory Kane""","""2001"""
0440216230,"""Sign of the Beaver""","""Elizabeth George Speare""","""1995"""
1883523362,"""Those Jordan Girls""","""Joan M. Drury""","""2000"""
0812966732,"""Lazy B: Growing Up on a Cattle Ranch in the American Southwest""","""Sandra Day O'Connor""","""2003"""
0312864949,"""Thunder on the Mountain""","""David Poyer""","""1999"""
1882413601,"""Nobody's Hell""","""Douglas Goetsch""","""1999"""
0746029993,"""Rocks and Minerals Sticker Book (Spotter's Guide Sticker Books Series)""","""Alan Woolley""","""1998"""
0446673315,"""Trends 2000 : How to Prepare for and Profit from the Changes of the 21st Century""","""Gerald Celente""","""1998"""
0965061310,"""Knowledge Web""","""James Burke""","""1999"""
0887248217,"""Daily Math Warm-Ups""","""Mj Owen""","""2002"""
0851156630,"""The  Knight and Chivalry : Revised edition""","""Richard Barber""","""2000"""
3442443881,"""Die Jagdpartie.""","""John Sandford""","""1999"""
2013219466,"""Les Derniers Jours de Pompei""","""E. Bulwer Lytton""","""2002"""
0380795558,"""Looking for a Hero (Avon Light Contemporary Romances)""","""Patti Berg""","""1998"""
0831718021,"""Casseroles (Country Kitchen Cookbooks)""","""Jenni Fleetwood""","""1987"""
0451409906,"""Nailed""","""Lucy Taylor""","""2001"""
1575664941,"""Here and Now""","""Kimberla Lawson Roby""","""2000"""
0670036013,"""Where's Mary's Hat?""","""Stephane Barroux""","""2003"""
3596112664,"""Der Tod in Venedig: Novelle""","""Thomas Mann""","""1995"""
0553574558,"""To Play the Fool""","""Laurie R. King""","""1996"""
1567188036,"""Feng Shui for Beginners: Successful Living by Design (For Beginners)""","""Richard Webster""","""1997"""
8506503787,"""O Meu Pe De Laranja Lima""","""Jose Mauro De Vasconcelos""","""1993"""
843392012X,"""Desde El Jardin""","""Jerzy Kosinski""","""1998"""
1565115279,"""Red Poppies""","""Alai""","""2002"""
0393036502,"""Color Is the Suffering of Light: A Memoir""","""Melissa Green""","""1995"""
2020063468,"""Le Voyage indiscret""","""Katherine Mansfield""","""1983"""
077832043X,"""Dark Road Home (Mira)""","""Karen Harper""","""2004"""
0312148240,"""The Empire State Building: The Making of a Landmark""","""John Tauranac""","""1997"""
0451212401,"""Love and Meatballs""","""Susan Volland""","""2004"""
0739306510,"""The Last Juror""","""JOHN GRISHAM""","""2004"""
0743435265,"""Code of the Lifemaker""","""James P. Hogan""","""2002"""
0746001657,"""Improve Your Running Skills (Usborne Superskills)""","""Susan Peach""","""1990"""
3880227020,"""Die GlÃ¼cklichen: Schelmenroman (Aus der Reihe)""","""Peter-Paul Zahl""","""1979"""
0395203600,"""The American Heritage dictionary of the English language""","""American Heritage""","""1978"""
226000704X,"""La Bellarosa Connection""","""Saul Bellow""","""1991"""
0061043982,"""Grey Mask (A Miss Silver Mystery)""","""Patricia Wentworth""","""1996"""
1854591983,"""The Way of the World (Drama Classics)""","""William Congreve""","""1996"""
0849908647,"""He Still Moves Stones""","""Max Lucado""","""1993"""
0312077866,"""Radio Waves: Life and Revolution on the Fm Dial""","""Jim Ladd""","""1992"""
042516540X,"""The Cat Who... Companion""","""Sharon A. Feaster""","""1998"""
031409900X,"""Legal Writing in a Nutshell (Nutshell Series)""","""Lynn B. Squires""","""1996"""
0380790033,"""Death in Paradise (Henrie O Mysteries (Paperback))""","""Carolyn Hart""","""1999"""
0374521913,"""The End of It""","""Mitchell Goodman""","""1989"""
0842347100,"""The Normal Christian Life""","""Watchman Nee""","""1977"""
0345308360,"""Exiles of the Rynth""","""Carole Douglas""","""1984"""
0380791854,"""Lathe of Heaven""","""Ursula K. Le Guin""","""1997"""
0451517938,"""Red and the Black""","""Stendhal""","""1982"""
0843931620,"""Captive to a Dream""","""Susan Tanner""","""1991"""
0135658543,"""Java Jump Start: A Beginner's Guide to Internet Programming""","""Noel Enete""","""1997"""
0895888041,"""DOS 5 Instant Reference""","""Robert M. Thomas""","""1991"""
0590113143,"""Dog with the Wounded Paw (Hippo Animal S.)""","""Brenda Jobling""","""1998"""
0373612664,"""The Legend""","""C.J. Carmichael""","""2002"""
0312327269,"""Blitz""","""Ken Bruen""","""2004"""
1577481925,"""Bible Promises (Value Book)""","""Barbour Bargain Books""","""2000"""
0877953597,"""Majipoor chronicles: A novel""","""Robert Silverberg""","""1982"""
0805055037,"""The Runaway Soul""","""Harold Brodkey""","""1997"""
0749314710,"""Mexico""","""James A. Michener""","""1993"""
0441832849,"""Groa's Other Eye (Twilight of the Gods Book II)""","""Dennis Schmidt""","""1986"""
0812056779,"""Little Owl and the Tree House""","""Constance Boyle""","""1985"""
1570622329,"""Posture of Meditation""","""WILL JOHNSON""","""1996"""
0871401835,"""73 Poems""","""E. E. Cummings""","""2003"""
0689865678,"""A Race Against Time (Nancy Drew \""All New\"" Girl Detective #2)""","""Carolyn Keene""","""2004"""
0740733591,"""Ten Things I Wish I'd Known Before I Went Out  Into The Real World""","""Maria Shriver""","""2003"""
0761106332,"""Rosie's Bakery All Butter Fresh Cream Sugar Packed No Holds Barred Baking Book""","""Judy Rosenberg""","""1991"""
034535768X,"""Death Flats""","""T. J. MacGregor""","""1991"""
014055694X,"""Re-Zoom (Picture Puffin Books (Paperback))""","""Istvan Banyai""","""1998"""
0060198753,"""Moving Target""","""Elizabeth Lowell""","""2001"""
0962114847,"""A Treasury of Christmas Ornaments""","""Crafts Magazine""","""1991"""
0553270249,"""Death on Deadline""","""Robert Goldsborough""","""1988"""
0525454462,"""Miss Bindergarten Gets Ready for Kindergarten""","""Joseph Slate""","""1996"""
0441166105,"""The Dragon in the Sword (Dragon in the Sword)""","""Michael Moorcock""","""1987"""
1551661624,"""Power Games""","""David P. Jordan""","""1996"""
0345423089,"""Rookery Blues: A Novel""","""Jon Hassler""","""1998"""
0307030016,"""Thumbelina""","""Golden Books Little""","""1994"""
2259191061,"""MystÃ?Â©rieux Mozart""","""Philippe Sollers""","""2001"""
0393309606,"""The Reverse of the Medal""","""Patrick O'Brian""","""1992"""
0821731262,"""Catch-As-Catch-Can""","""Charlotte Armstrong""","""1990"""
0380470845,"""The Fulfillment""","""LaVyrle Spencer""","""1979"""
0870227785,"""Samoa"," A Photographic Essay.""","""Frederic Koehler Sutter"""
1564143082,"""Repair Your Own Credit""","""Bob Hammond""","""1997"""
0786700084,"""Clearwater Summer""","""John E. Keegan""","""1994"""
0553107003,"""Storm Warning""","""Jack Higgins""","""0"""
0252017781,"""Their Eyes Were Watching God""","""Zora Neale Hurston""","""1991"""
0440802458,"""Egypt Game""","""Zilpha Keatley Snyder""","""1991"""
0786801093,"""Nobody's Dog""","""Charlotte Graeber""","""1998"""
0890813043,"""Parenthood Without Hassles * * Well Almost""","""Kevin Leman""","""1979"""
0156044269,"""Lewis Carroll's Alice's Adventures in Wonderland""","""Lewis Carroll""","""1991"""
0312988990,"""American Son""","""Richard Blow""","""2002"""
0300059248,"""Bisexuality in the Ancient World""","""Eva Cantarella""","""1994"""
156201238X,"""The Captive's Journey""","""Richard Manton""","""2001"""
044021906X,"""Staying Fat for Sarah Byrnes""","""Chris Crutcher""","""1995"""
0113219954,"""Rules and Guidance for Pharmaceutical Manufacturers and Distributors""","""Great Britain""","""1997"""
2264023481,"""La Bible de nÃ?Â©on""","""John Kennedy Toole""","""1995"""
0689822707,"""Halloween Frights (Night Glow Board Books)""","""Judith Moffatt""","""1999"""
0394759753,"""The Complete Book of Massage""","""CLARE MAXWELL-HUDSON""","""1988"""
0312953585,"""Digging Your Own Grave""","""B.L. Andrews""","""1994"""
0671828258,"""SHADOW OF TORTURER""","""Gene Wolfe""","""1981"""
0330241621,"""Mountain People""","""Colin Turnbull""","""0"""
0133894606,"""A history of film""","""Jack C Ellis""","""1979"""
8421632728,"""La Princesa Luna y El Principe Sol""","""Fatima Garcia""","""1998"""
0195076184,"""The Oxford Companion to Archaeology""","""Brian M. Fagan""","""1996"""
0006384765,"""The Beginner's Guide to Investing : A Practical Guide to Putting Your Money to Work for You""","""Richard Croft""","""1997"""
3612213695,"""Telearbeit.""","""Martin Massow""","""1998"""
0007104758,"""In Forkbeard's Wake: Coasting Around Scandinavia (Flamingo)""","""Ben Nimmo""","""2003"""
0881763969,"""Over 50 Years of American Comic Books""","""Ron Goulart""","""1990"""
1566913640,"""Rick Steves' Scandinavia 2002""","""Rick Steves""","""2002"""
0061032093,"""Breathing Room (Avon Romance)""","""Susan Elizabeth Phillips""","""2003"""
0523413920,"""Hornblower #07 Flying Color""","""C. S. Forester""","""1975"""
0373196547,"""Daddy on the Doorstep""","""Judy Christenberry""","""2003"""
0965323501,"""The Oracle of Clarion - Unveiling the Goddess: A Story to Awaken the Heart of Humanity""","""Paula Peterson""","""1998"""
0451146948,"""Jews God and History""","""Max I Dimont""","""1981"""
0394171349,"""Games People Play B186""","""Eric MD Berne""","""1969"""
0671214691,"""EXALTATION STARS""","""Terry Carr""","""1973"""
1566191416,"""Frankenstein""","""Wollstonecraft Mary Shelley""","""1993"""
0440224705,"""Hard Time (V.I. Warshawski Novels (Paperback))""","""SARA PARETSKY""","""2000"""
0872168328,"""Horror House""","""J.N. Williamson""","""1981"""
3404139674,"""Operation Schneewolf.""","""Glenn Meade""","""1998"""
0425036715,"""Little Knowledge""","""Michael Bishop""","""1978"""
0942658086,"""Food allergies made simple""","""Phylis Austin""","""1985"""
0679600078,"""Collected Tales and Poems of Edgar Allan Poe (Modern Library)""","""Edgar Allan Poe""","""1992"""
8429720154,"""Maria Rosa (El Garbell)""","""Angel GuimerÃ¡""","""1983"""
0307220052,"""It's All in the Stars (Girl Talk)""","""L. E. Blair""","""1990"""
0345375556,"""One's Company: Reflections on Living Alone""","""Barbara Holland""","""1992"""
0451451759,"""Afterimage""","""Kristine Kathryn Rusch""","""1992"""
0738200433,"""Almost a Woman""","""Esmeralda Santiago""","""1998"""
1590523083,"""One More Sunrise (Frontier Doctor Trilogy)""","""Al Lacy""","""2004"""
0313294186,"""Tom Robbins""","""Catherine E. Hoyser""","""1997"""
031224679X,"""Let's Go 2001: Ireland: The World's Bestselling Budget Travel Series""","""Maja Groft""","""2000"""
0515134368,"""The Penwyth Curse""","""Catherine Coulter""","""2004"""
0140028951,"""Area of Darkness""","""V.S. Naipaul""","""1998"""
0373822065,"""Death Spiral""","""Patricia Rosemoor""","""2000"""
0684864886,"""Meanwhile Back at the Ranch : A Novel""","""Kinky Friedman""","""2002"""
0778320596,"""Blooming All Over (Mira)""","""Judith Arnold""","""2004"""
0446356875,"""Another Dawn""","""Sandra Brown""","""1991"""
0440842484,"""Borrowers""","""Mary Norton""","""0"""
0877285810,"""Gurdjieff: A Very Great Enigma""","""John G. Bennett""","""1984"""
0140323058,"""Queenie Peavy""","""Robert Burch""","""1987"""
0451164210,"""Complete Art of Witchcraft""","""Sybil Leek""","""1991"""
0525939865,"""The Vulture Fund""","""Stephen W. Frey""","""1996"""
0380724332,"""Skeleton Canyon: A Joanna Brady Mystery""","""J.A. Jance""","""2004"""
0374520011,"""Mystics and Zen Masters""","""Thomas Merton""","""1986"""
0380795736,"""Talking Rain: A Professo (Professor Teodora Morelli Mystery)""","""Linda French""","""1998"""
0385327803,"""Daughter of Venice""","""DONNA JO NAPOLI""","""2002"""
0673522725,"""Writing and Reading Across the Curriculum""","""Laurence Behrens""","""1994"""
034085961X,"""Christianity (Teach Yourself World Faiths S.)""","""John Young""","""2003"""
1897959206,"""Bigot Hall: A Gothic Childhood""","""Steve Aylett""","""1995"""
0061014346,"""The Chance""","""Edith Layton""","""2000"""
9029537353,"""Zuiderkruis: Roman""","""Pauline Slot""","""1999"""
0373024649,"""Castle in Spain (Harlequin Romance)""","""Margaret Rome""","""1982"""
0373218346,"""Playing For Keeps""","""Karen Templeton""","""2003"""
2253170577,"""Le Vol des cigognes""","""Jean-Christophe GrangÃ?Â©""","""1999"""
0451183908,"""University""","""Bentley Little""","""1995"""
0684852314,"""Spin Cycle: Inside the Clinton Propaganda Machine""","""Howard Kurtz""","""1998"""
1565896017,"""Life's Little Secrets (Secrets Series)""","""J. Donald Walters""","""2003"""
0553232355,"""Star Trek 10""","""James Blish""","""1974"""
0821730681,"""Montana Mistress""","""Thea Devine""","""1990"""
0836252586,"""Rosie Plants a Radish: A Lift-The-Flap Natur Book With Real Seeds (Lift-The-Flap Nature Books with Real Seeds)""","""Kate Petty""","""1998"""
0451522044,"""American Tragedy""","""Theodore Dresier""","""1981"""
0553287141,"""The Outlaws of Mesquite""","""LOUIS L'AMOUR""","""1991"""
0758203594,"""Wilde Thing""","""Janelle Denison""","""2003"""
0445045647,"""A private battle""","""Cornelius Ryan""","""1980"""
3406086934,"""Peter RÃ¼hmkorf (AutorenbÃ¼cher)""","""Peter Bekes""","""1982"""
1559586893,"""How to Sell More Than 75% of Your Freelance Writing""","""Gordon Burgett""","""1995"""
1551669056,"""Between Friends""","""Debbie Macomber""","""2002"""
1573453005,"""How Can You Mend a Broken Spleen?: Home Remedies for an Ailing World""","""Joseph Walker""","""2000"""
0880881445,"""Jesus: He's Your Final Answer""","""Sarah M. Hupp""","""2001"""
0806968699,"""How To Make Optical Illusion Tricks &amp"," Toys""","""E. Richard Churchill"""
0880013346,"""Wild Iris""","""Louise Gluck""","""1994"""
0060234830,"""Prince Caspian (rpkg) : The Return to Narnia (Narnia)""","""C. S. Lewis""","""1994"""
0030145023,"""Modern Chemistry""","""Nicholas D. Tzimopoulos""","""1990"""
0452284651,"""The Museum of Hoaxes: A History of Outrageous Pranks and Deceptions""","""Alex Boese""","""2003"""
0061092355,"""Star Trek Memories""","""William Shatner""","""1994"""
0689118155,"""Marianne Moore: A Literary Life""","""Charles Molesworth""","""1990"""
0395248302,"""The Stars : A New Way to See Them (Astronomy)""","""H. A. Rey""","""1976"""
0399140859,"""Murder in Grub Street""","""Bruce Alexander""","""1995"""
0192832832,"""The Wild Irish Girl: A National Tale (Oxford World's Classics)""","""Lady Morgan""","""1999"""
0201406942,"""Going to the Doctor""","""T. Berry Brazelton""","""1996"""
0007110928,"""Billy""","""Pamela Stephenson""","""2002"""
0789434121,"""Factastic Book of 1001 Lists""","""Russell Ash""","""1999"""
1555466877,"""The Abenaki (Indians of North America)""","""Colin Gordon Calloway""","""1989"""
0811815730,"""Sorbets and Ice Creams: &amp"," Other Frozen Confections""","""Lou Seibert Pappas"""
3770138333,"""Das Jadezimmer.""","""John Ball""","""1998"""
0812540182,"""China Bride""","""Henry Luk""","""1999"""
013675869X,"""Piece by Piece: The Complete Book of Quiltmaking""","""Dianne Finnegan""","""1991"""
0446517690,"""Touched by Angels""","""Eileen Elias Freeman""","""1993"""
0425136612,"""Night of the Hawk""","""Dale Brown""","""1993"""
0517888246,"""Dinosaur in a Haystack: Reflections in Natural History""","""Stephen Jay Gould""","""1997"""
0385267320,"""The Art of the Long View: Planning for the Future in an Uncertain World""","""Peter Schwartz""","""1996"""
0563383917,"""Home Front Kitchens (Home Front)""","""Anne McKevitt""","""2002"""
0870715437,"""The Arbutus/Madrone Files: Reading the Pacific Northwest""","""Laurence Ricou""","""2002"""
0393320723,"""Outside Adventure Travel: Trekking (Outside Books)""","""David Noland""","""2001"""
0747558337,"""If Nobody Speaks of Remarkable Things""","""Jon McGregor""","""2002"""
0671668315,"""Setting Limits: Medical Goals in an Aging Society""","""Daniel Callahan""","""1988"""
0140103600,"""God's Snake (King Penguin)""","""Irini Spanidou""","""1987"""
0061001821,"""Orsinian Tales""","""Ursula K. Le Guin""","""1991"""
0671532545,"""Bedside manners: The troubled history of doctors and patients""","""Edward Shorter""","""1985"""
0395339707,"""August""","""Judith Rossner""","""1983"""
0380403110,"""Maria Looney and the Cosmic Circus (An Avon Camelot Book)""","""Jerome Beatty""","""1978"""
8817134597,"""Se il sole muore (BUR)""","""Oriana Fallaci""","""1984"""
0671729403,"""Fallen Hearts (Casteel)""","""V.C. Andrews""","""1990"""
157731154X,"""The Path of Transformation: How Healing Ourselves Can Change the World""","""Shakti Gawain""","""2000"""
0399130845,"""In a Certain Light""","""Karen Osney Brownstein""","""1985"""
0553579975,"""Cold Springs""","""RICK RIORDAN""","""2004"""
0671706020,"""The 4:50 from Paddington""","""Agatha Christie""","""1983"""
0671021826,"""The BEGINNING FEAR STREET COLLECTORS EDITION : THE NEW GIRL THE SURPRISE PARTY THE OVERNIGHT (Fear Street Series)""","""R.L. Stine""","""1998"""
0806953918,"""Magnificent MacRamE""","""Marie Janine. Solvit""","""1979"""
0452274362,"""The Basic Darkroom Book""","""Tom Grimm""","""1999"""
0553580760,"""Cold Water Burning""","""John Straley""","""2001"""
0820316520,"""The Bourbaki Gambit: A Novel""","""Carl Djerassi""","""1994"""
0679735976,"""Lie Down in Darkness""","""William Styron""","""1992"""
3442354811,"""Das Haus der verlorenen Kinder.""","""Jenny Jones""","""2002"""
0151639663,"""For the Record: From Wall Street to Washington""","""Donald Regan""","""1988"""
0671695762,"""BODY""","""Harry Crews""","""1990"""
0671880969,"""LAST CHANTS (Willa Jansson Mystery)""","""Lia Matera""","""1997"""
3250600555,"""Monsieur Ibrahim und die Blumen des Koran. ErzÃ?Â¤hlung.""","""Eric-Emmanuel Schmitt""","""2002"""
0747516995,"""Hayfever: The Complete Guide""","""Jonathan Brostoff""","""1994"""
0884861767,"""The Collected Works of Catherine Marshall: To Live Again and Beyond Our Selves""","""Catherine Marshall""","""1997"""
006273394X,"""The Best European Travel Tips 1996-1997 (Serial)""","""John Whitman""","""1996"""
0394857526,"""Bert and the Missing Mop Mix-up""","""Sarah Roberts""","""1983"""
0440406803,"""High Wizardry""","""Diane Duane""","""1992"""
0195065433,"""Rise of Modern China 4e Export Ed Only""","""Hsu""","""1997"""
0671518984,"""The QUICK AND THE DEAD (MOVIE TIE-IN) (Movie-Tie-in)""","""Jack Curtis""","""1995"""
0062512544,"""Nothing to Lose: A Guide to Sane Living in a Larger Body""","""Cheri K. Erdman""","""1996"""
0515035084,"""The Bastard""","""John Jakes""","""1974"""
0307100197,"""Disney's Aladdin: The Genie's Tale (Golden Super Shape Book)""","""Karen Kreider""","""1993"""
0201709007,"""Mac OS X: Visual QuickStart Guide""","""Maria Langer""","""2001"""
0425064247,"""Scarface""","""Paul Monette""","""1983"""
0809435985,"""Out of Africa (Time reading program special edition)""","""Isak Dinesen""","""1980"""
0451203755,"""The Train Now Departing: Two Novellas""","""Martha Grimes""","""2001"""
1401046606,"""Abiding Love: A Loves Journey into the Millennium""","""Louise Haeger""","""2002"""
185242558X,"""Intoxication: An Anthology of Stimulant-Based Writing""","""Toni Davidson""","""1998"""
1414040563,"""Second Age: A Recall of Things Gone by and a Bit of Now""","""Carl A. Franson""","""2004"""
0465016103,"""The Other Path: The Economic Answer to Terrorism""","""Hernando De Soto""","""2002"""
076534047X,"""Scatterbrain""","""Larry Niven""","""2004"""
